Organisation Name,Town/City,County,Type & Rating,Route
A D Foods Ltd,London,Unknown,Worker (A rating),Skilled Worker
A3/C Partners Llp,London,London,Worker (A rating),Skilled Worker
A5 Ng1 Ltd T/A Papa Johns Pizza,Coventry,Unknown,Worker (A rating),Skilled Worker
Aam Insulation Uk Limited,Coventry,Unknown,Worker (A rating),Skilled Worker
Abacus Nursery School,London,Unknown,Worker (A rating),Skilled Worker
Abbey Road Estates Limited,London,Unknown,Worker (A rating),Skilled Worker
Abdul Halal Meat Marsh Farm Ltd,Luton,Unknown,Worker (A rating),Skilled Worker
Accounts & Tax Int Ltd,London,Unknown,Worker (A rating),Skilled Worker
Acebridge Education Ltd,London,Unknown,Worker (A rating),Skilled Worker
Achieving Above Average Ltd,London,Unknown,Worker (A rating),Skilled Worker
Acx Instruments Ltd,Cambridge,Unknown,Worker (A rating),Skilled Worker
Adams Loft Ltd,Glasgow,Unknown,Worker (A rating),Skilled Worker
Adora Hospitality Ltd,Portsmouth,Hampshire,Worker (A rating),Skilled Worker
Advanced Musculoskeletal Ultrasound Ltd,Dartford,Kent,Worker (A rating),Skilled Worker
Advokatfirmaet Kromann Reumert,London,Unknown,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Afro Wight Ltd,Newport,Isle of Wight,Worker (A rating),Skilled Worker
Agee Care Limited,Stoke-On-Trent,Staffordshire,Worker (A rating),Skilled Worker
"Agencia Efe,S.A.",London,Unknown,Worker (A rating),Skilled Worker
Agilerl Ltd,London,Unknown,Worker (A rating),Skilled Worker
Agreementsdesk Limited,London,Unknown,Worker (A rating),Skilled Worker
Agroexcel International Ltd,Long Eaton,Nottingham,Worker (A rating),Skilled Worker
Agrovista Uk Ltd,Nottingham,Unknown,Worker (A rating),Skilled Worker
Agt Farms Ltd,Gloucester,Gloucestershire,Worker (A rating),Skilled Worker
Ahro Center For Academic Research Limited, London,Unknown,Worker (A rating),Skilled Worker
Ailux Group Limited,LONDON,Unknown,Worker (A rating),Skilled Worker
Aira Textiles Limited,Manchester,Unknown,Worker (A rating),Skilled Worker
Aiyma Ltd,PETERBOROUGH,CAMBS,Worker (A rating),Skilled Worker
Aj Boat Canopies Ltd,Daventry,Northamptonshire,Worker (A rating),Skilled Worker
Ajms Consultants,Leeds,Unknown,Worker (A rating),Skilled Worker
Alcas Limited,Hertford,Hertfordshire,Worker (A rating),Skilled Worker
Alfa Management Nw Ltd,Oldham,Unknown,Worker (A rating),Skilled Worker
Algo1 Limited,London,Unknown,Worker (A rating),Skilled Worker
Alifya Education Ltd,London,Unknown,Worker (A rating),Skilled Worker
All Saints Benhilton Primary School,Sutton,Choose County,Worker (A rating),Skilled Worker
Allocator One Limited,Brighton,Unknown,Worker (A rating),Skilled Worker
Alora Forecourt Limited,Northolt,Unknown,Worker (A rating),Skilled Worker
Am Professional Ltd,Manchester,Unknown,Worker (A rating),Skilled Worker
Anri Convenience Store,AMERSHAM,BUCKINGHAMSHIRE,Worker (A rating),Skilled Worker
Anwa Properties Ltd,London,Unknown,Worker (A rating),Skilled Worker
Arb Planning Ltd,"Romford,",Unknown,Worker (A rating),Skilled Worker
Archilizer Ltd,London,Unknown,Worker (A rating),Skilled Worker
Ariya African Restaurant & Bar,Bradford,Unknown,Worker (A rating),Skilled Worker
Arjunli Limited,Swindon,Unknown,Worker (A rating),Skilled Worker
Arsh Enterprises Ltd,Manchester,Unknown,Worker (A rating),Skilled Worker
Artbloc Company Ltd,Coventry,Unknown,Worker (A rating),Skilled Worker
Asgard Ventures Limited T/A Nagerkovil Arya Bhavan,Tolworth,Surrey,Worker (A rating),Skilled Worker
Asm Express Ltd,London,Unknown,Worker (A rating),Skilled Worker
Aspire Laboratories Ltd,East Dagenham,Unknown,Worker (A rating),Skilled Worker
Atempo Growth,London,Unknown,Worker (A rating),Skilled Worker
Atmiya Enterprise Ltd,Clifton,Nottingham,Worker (A rating),Skilled Worker
