Organisation Name,Town/City,County,Type & Rating,Route
27Four (Uk) Ltd,London,Unknown,Worker (A rating),Skilled Worker
A1 Car Shop Ltd,Bedfordshire,Unknown,Worker (A rating),Skilled Worker
A1 Telecommunication Services Ltd,Reading,Berkshire,Worker (A rating),Skilled Worker
Accent Wire Limited,Solihull,West Midlands,Worker (A rating),Skilled Worker
Acoustic Marketing Uk Ltd,London,Unknown,Worker (A rating),Skilled Worker
Adebis Ventures Uk Limited,Barking,Essex,Worker (A rating),Skilled Worker
Advan Properties Limited,Morden,Unknown,Worker (A rating),Skilled Worker
Afridi Hd Ltd T/A Heavenly Desserts,Croydon,Unknown,Worker (A rating),Skilled Worker
Amy Pharma Ltd,London,N8 8SY,Worker (A rating),Skilled Worker
Anankai Limited,Hayes,Middlesex,Worker (A rating),Skilled Worker
Angelika Beauty Ltd,London,Unknown,Worker (A rating),Skilled Worker
Antony Retail Ltd,Royston,Unknown,Worker (A rating),Skilled Worker
Apperley Cricket Club,Gloucestershire,gloucesterahire,Worker (A rating),International Sportsperson
Ardis Services Ltd,Henley-in-Arden,Warwickshire,Worker (A rating),Skilled Worker
Arena Security Ltd,Hitchin,Hertfordshire,Worker (A rating),Skilled Worker
Astec Industries Europe Limited,Omagh,Tyrone,Worker (A rating),Skilled Worker
Atlas Impact Limited,London,Unknown,Worker (A rating),Skilled Worker
Avcas,Shrewsbury,Unknown,Worker (A rating),Skilled Worker
Avivets Veterinary Services Ltd,Pickmere,Cheshire,Worker (A rating),Skilled Worker
Azca Auctions Ltd,London,Unknown,Worker (A rating),Skilled Worker
Be Bird Limited,New Malden,Surrey,Worker (A rating),Skilled Worker
Bengal Welding Limited,Wednesbury,West Midlands,Worker (A rating),Skilled Worker
Blend Family Ltd,Sheffield,Unknown,Worker (A rating),Skilled Worker
Bltw Care Ltd,Tunbridge Wells,Kent,Worker (A rating),Skilled Worker
Bluedenz Ltd,London,Unknown,Worker (A rating),Skilled Worker
Bognor Regis Specsavers Hearcare Limited,Bognor Regis,Unknown,Worker (A rating),Skilled Worker
Boss Design Group,Dudley,West Midlands,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Boss Design Group,Dudley,West Midlands,Worker (A rating),Skilled Worker
Bridge Of Earn Dental Practice  (Bridge Of Earn Associates),Perth,Unknown,Worker (A rating),Skilled Worker
Brookfield Financial Planning Ltd,Altrincham,Cheshire,Worker (A rating),Skilled Worker
Chandu Tailor & Son Limited,London,Unknown,Worker (A rating),Skilled Worker
Charalambous & Co Limited,London,Unknown,Worker (A rating),Skilled Worker
Checkboard,London,Unknown,Worker (A rating),Skilled Worker
"Church Of God, A Worldwide Association - British Isles",High Wycombe,Unknown,Worker (A rating),Tier 2 Ministers of Religion
Cintobi Limited,Dagenham,Essex,Worker (A rating),Skilled Worker
City Mini Market Ltd, London,Unknown,Worker (A rating),Skilled Worker
Ck Rail Solutions,Chesterfield,Derbyshire,Worker (A rating),Skilled Worker
Copa-Data Uk Limited,Bristol,Unknown,Worker (A rating),Skilled Worker
Dailoqa Solutions (Uk) Limited,London,Unknown,Worker (A rating),Skilled Worker
Dama Engineering Consultants Limited,London,Unknown,Worker (A rating),Skilled Worker
Dance Five Ltd,London,Unknown,Worker (A rating),Skilled Worker
Delta Service Station Ltd,Mansfield,Unknown,Worker (A rating),Skilled Worker
Dhesi Dental Partners Limited, Bromsgrove,Unknown,Worker (A rating),Skilled Worker
Dishion Oxford Ltd,Oxford,Unknown,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
